,_c0,teamID,yearID,G,W,L,H,AB,SB,HR,2B,3B,R,ERA,RA,IPouts,HA,BBA,BAVG,SLG,H/BBA,IP,WHIP,Run_Buckets
126,144,NYN,2015,162,90,72,1351,5527,51.0,177,295,17,683,3.43,613,4388,1341,383,0.24443640311199566,0.40003618599601953,1724,1462.6666666666667,1.178669097538742,LOW-MID
127,145,NYN,2016,162,87,75,1342,5459,42.0,218,240,19,671,3.57,617,4341,1397,439,0.24583257006777798,0.4165598094889174,1836,1447.0,1.2688320663441603,LOW-MID
128,146,NYN,2017,162,70,92,1379,5510,58.0,224,286,28,735,5.01,863,4304,1538,593,0.2502722323049002,0.4343012704174229,2131,1434.6666666666667,1.4853624535315983,MID
129,147,NYN,2018,162,77,85,1282,5468,71.0,170,265,34,676,4.07,707,4382,1364,484,0.23445501097293342,0.38862472567666423,1848,1460.6666666666667,1.2651757188498403,LOW-MID
130,148,NYN,2019,162,86,76,1445,5624,56.0,242,280,17,791,4.24,737,4383,1405,500,0.25693456614509247,0.44185633001422475,1905,1461.0,1.3039014373716633,HIGH
131,150,NYN,2021,162,77,85,1243,5210,54.0,176,228,18,636,3.9,668,4138,1221,475,0.23857965451055663,0.390595009596929,1696,1379.3333333333333,1.2295795070082165,LOW
132,151,NYN,2022,162,101,61,1422,5489,62.0,171,272,27,772,3.57,606,4316,1274,428,0.2590635817088723,0.41191473856804517,1702,1438.6666666666667,1.1830398517145504,MID-HIGH
133,152,OAK,2015,162,68,94,1405,5600,78.0,146,277,46,694,4.14,729,4334,1402,474,0.25089285714285714,0.395,1876,1444.6666666666667,1.2985694508537147,LOW-MID
134,153,OAK,2016,162,69,93,1352,5500,50.0,169,270,21,653,4.51,761,4300,1459,464,0.24581818181818182,0.3947272727272727,1923,1433.3333333333333,1.3416279069767443,LOW
135,154,OAK,2017,162,75,87,1344,5464,57.0,234,305,15,739,4.67,826,4293,1444,502,0.24597364568081992,0.43576134699853586,1946,1431.0,1.3598881900768693,MID
136,155,OAK,2018,162,97,65,1407,5579,35.0,227,322,20,813,3.81,674,4397,1303,474,0.2521957340025094,0.43914680050188204,1777,1465.6666666666667,1.2124175574255174,HIGH
137,156,OAK,2019,162,97,65,1384,5561,49.0,257,292,23,845,3.97,680,4395,1342,477,0.24887610142060781,0.448300665347959,1819,1465.0,1.2416382252559728,HIGH
138,158,OAK,2021,162,86,76,1284,5395,88.0,199,271,19,743,4.02,687,4299,1362,439,0.23799814643188136,0.40593141797961074,1801,1433.0,1.2568039078855548,MID-HIGH
139,159,OAK,2022,162,60,102,1147,5314,78.0,137,249,15,568,4.52,770,4279,1394,503,0.2158449378998871,0.34569062852841553,1897,1426.3333333333333,1.3299836410376258,LOW
140,160,PHI,2015,162,63,99,1374,5529,88.0,130,272,37,626,4.69,809,4309,1592,488,0.24850786760716223,0.38162416350153733,2080,1436.3333333333333,1.4481318171269437,LOW
141,161,PHI,2016,162,71,91,1305,5434,96.0,161,231,35,610,4.63,796,4311,1468,466,0.24015458225984543,0.38443135811556867,1934,1437.0,1.3458594293667363,LOW
142,162,PHI,2017,162,66,96,1382,5535,59.0,174,287,36,690,4.55,782,4323,1471,527,0.24968383017163506,0.4088527551942186,1998,1441.0,1.3865371269951423,LOW-MID
143,163,PHI,2018,162,80,82,1271,5424,69.0,186,241,30,677,4.14,728,4337,1366,500,0.23432890855457228,0.3926991150442478,1866,1445.6666666666667,1.2907539774037353,LOW-MID
144,164,PHI,2019,162,81,81,1369,5571,78.0,215,311,26,774,4.53,794,4361,1452,546,0.24573685155268354,0.4266738467061569,1998,1453.6666666666667,1.374455400137583,MID-HIGH
145,166,PHI,2021,162,82,80,1288,5366,77.0,198,262,24,734,4.39,745,4256,1321,509,0.24002981736861723,0.40849795005590755,1830,1418.6666666666667,1.2899436090225562,MID
146,167,PHI,2022,162,87,75,1392,5496,105.0,205,255,29,747,3.97,685,4285,1330,463,0.25327510917030566,0.42212518195050946,1793,1428.3333333333333,1.2553092182030339,MID-HIGH
147,168,PIT,2015,162,98,64,1462,5631,98.0,140,292,27,697,3.21,596,4469,1392,453,0.2596341679985793,0.39566684425501686,1845,1489.6666666666667,1.238532110091743,LOW-MID
148,169,PIT,2016,162,78,83,1426,5542,110.0,153,277,32,729,4.21,758,4352,1490,533,0.2573078311079033,0.4016600505232768,2023,1450.6666666666667,1.39453125,MID
